"Empfänger";"Politikbereich";"Art";"Jahr";"Anschrift";"Geber";"Zuwendungsbereich";"Betrag"
"Berliner Zentrum für Gewaltprävention BZfG e. V.";" ";"Projektförderung";"2009";"Ackerstraße 11 B, 10115 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Weiterführung der Gewaltpräventionsarbeit für gewalttätige Männer in Zusammenarbeit mit den Berliner Justizvollzugsanstalten - als 3. Rate";"50940"
"Consistorium der Französischen Kirche zu Berlin; HUGENOTTENKIRCHE";" ";"Projektförderung";"2009";"Joachim-Friedrich-Straße 4, 10711 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung des Ausbaus der Kapelle zu einer Fontane-Dokumentationsstätte sowie von Sanierungs- und Restaurierungsmaß-nahmen auf dem Friedhof der Französischen Kirche in der Liesenstraße 7 in Berlin-Mitte  - als 2. und letzte Rate";"300000"
"Wildwasser, Arbeitsgemeinschaft gegen sexuellen Missbrauch an Mädchen e. V.";" ";"Projektförderung";"2009";"Wriezener Straße 10 - 11, 13359 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung der geplanten Weiterführung des Projektes ''Frauennachtcafé - nächtliche Frauenkrisenanlaufstelle'' als zweite Projektphase vom 01.04.2008 bis 31.03.2010  -als 2. und letzte Rate";"90000"
"Volksbühne am Rosa-Luxemburg-Platz";" ";"Projektförderung";"2009";"Linienstraße 227, 10178 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Kosten für die geplanten Ersatzspielstätten ''Freilichtbühne Antikenprojekt'' und ''Prater'' während der Umbauphase der Volksbühne";"390000"
"Freunde der Domäne Dahlem e. V.";" ";"Projektförderung";"2009";"Königin-Luise-Straße 49, 14195 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung der Kosten der Umsetzung von neuen Stiftungsstrukturen und der Erstausstattung des Ausstellungs- und Ver-anstaltungshauses ''ehemaliges Pferdestallgebäude'' -als 1. Rate";"200000"
"TOCC Concept GmbH";" ";"Projektförderung";"2009";"Am Festungsgraben 1, 10117 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der geplanten Aufführung ''Fidelio am Bundestag - Beethovens Oper zum 60sten Jahrestag des Grund-gesetzes und zum 20sten Jahrestag des Berliner Mauerfalls'' vom 03. - 15.07.2009 vor dem Marie-Elisabeth-Lüders-Haus";"200000"
"Berlin-Brandenburgische Schiffahrtsgesellschaft e. V.";" ";"Projektförderung";"2009";"Fischerinsel 3, 10179 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung des geplanten Ankaufs und der anschließenden Instandsetzung des Motorgüterschiffs ''Heimatland'' zwecks künstlerischer Nutzung";"195000"
"Baumpatenverein e. V.";" ";"Projektförderung";"2009";"Joseph-Haydn-Straße 1, 10557 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung von drei geplanten künstlerischen Veranstaltungen mit Bezug zum Parlament der Bäume, dem ehemaligen Grenzstreifen im Spreebogen am Schiffbauerdamm";"105000"
"Piranha Kultur GmbH";" ";"Projektförderung";"2009";"Bergmannstraße 102, 10961 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung des geplanten Kulturfestes Ramadan auf der Museumsinsel und in der Kulturbrauerei vom 22.08. - 22.09.2009";"100000"
"VIB - Veranstaltungen in Berlin e. V.";" ";"Projektförderung";"2009";"Cimbernstraße 22, 14129 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der geplanten 23. Berliner Jedermann-Festspiele im Oktober 2009 im Berliner Dom";"100000"
"Kulturveranstaltungen des Bundes in Berlin GmbH; ; Geschäftsbereich: Haus der Kulturen der Welt";" ";"Projektförderung";"2009";"John-Foster-Dulles-Allee 10, 10557 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der geplanten Restaurierung der Bronze-Skulptur ''Large Divided Oval: Butterfly'' von Henry Moore";"62000"
"Berliner Ensemble GmbH";" ";"Projektförderung";"2009";"Bertolt-Brecht-Platz 1, 10117 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung von Mehrkosten im Zusammenhang mit dem geplanten Gastspiel ''Die Dreigroschenoper'' im Cameri-Theater in Tel Aviv anlässlich der Feierlichkeiten zum 100-jährigen Bestehen der Stadt Tel Aviv";"48000"
"Literaturhaus Berlin e. V.";" ";"Projektförderung";"2009";"Fasanenstraße 23, 10719 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des geplanten Ausstellungsprojekts ''Pier Paolo Pasolini - Wer ich bin'' vom 17.09. - 22.11.2009 im Literaturhaus und im benachbarten Käthe-Kollwitz-Museum";"46000"
"interkult unterwegs e. V.";" ";"Projektförderung";"2009";"Schönhauser Allee 163, 10435 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der geplanten Teilnahme der Berliner Band ''17 Hippies'' am israelisch-deutschen Musikeraustausch anlässlich des 100. Geburtstages der Stadt Tel Aviv im Oktober 2009";"6000"
"Der Regierende Bürgermeister von Berlin; - Senatskanzlei -";" ";"Projektförderung";"2009";"Berliner Rathaus, 10178 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung der im Mai 2009 geplanten Festveran-staltungen aus Anlass des 60. Jahrestages der Berliner Luftbrücke und der Beendigung der Blockade";"392700"
"LIGA der Spitzenverbände der Freien Wohlfahrtspflege in Berlin ; z. Zt. federführend: Deutsches Rotes Kreuz, LV Berliner Rotes Kreuz e. V.";" ";"Projektförderung";"2009";"Bachestraße 11, 12161 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung der Kernaufgaben und sozialen Beratungs- und Betreuungsdienste sowie sozialen Projekte der Wohlfahrtsverbände in Berlin im Haushaltsjahr 2010";"3290000"
"LWB - Lichtenberger Werkstatt für Behinderte gGmbH";" ";"Projektförderung";"2009";"Allee der Kosmonauten 23 A, 10315 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Neubaus einer Werkstatt für behinderte Menschen (120 Werkstattbeschäftigte) in der Bornitzstraße in Berlin-Lichtenberg";"421888"
"Autismus Deutschland / Vereinigung zur Förderung von Menschen mit Autismus Landesverband Berlin e. V.";" ";"Projektförderung";"2009";"Güntzelstraße 17, 10717 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des geplanten Erwerbs des Grundstückes Arno-Holz-Straße 10 in 12165 Berlin-Steglitz und der Errichtung eines 2-geschossigen Wohnheimes für Menschen mit Autismus und anderen möglichen Behinderungen";"284000"
"Mit-Mensch e. V.";" ";"Projektförderung";"2009";"Müritzstraße 31, 10318 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Neubaus eines barrierefreien Hotels einschließlich Speisesaal sowie vier Zweizimmerapartments für Dauer-bewohnerInnen im Rahmen von betreutem Wohnen in Berlin-Karlshorst, Ehrlichstraße 47 als 2. und letzte Rate";"200000"
"Diakonisches Werk Tempelhof-Schöneberg e. V.";" ";"Projektförderung";"2009";"Götzstraße 24 e, 12099 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung geplanter Sanierungsmaßnahmen an und in der gerontopsychiatrischen Tagespflegestätte, Loewenhardtdamm 41 in 12101 Berlin";"145000"
"Lesbenberatung Berlin - Ort für Kommunikation, Kultur, Bildung und Information e. V.";" ";"Projektförderung";"2009";"Kulmer Straße 20 a, 10783 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des geplanten Projektes ''Kampagne zu Gewaltbetroffenheit und Diskriminierungserfahrungen von lesbischen/bisexuellen Frauen und transidenten Menschen'' für Projektlaufzeit von insges.24 Mon. (Beginn: 1.9.2009) -als 1. Rate";"137000"
"Bezirksamt Treptow-Köpenick von Berlin Abteilung Soziales und Gesundheit";" ";"Projektförderung";"2009";"Postfach 91 02 40, 12414 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Durchführung von Advents- und Weihnachtsfeiern im Berliner Stadtgebiet sowie für Präsente für alte und arme Berliner Bürgerinnen und Bürger im Kalenderjahr 2009";"102000"
"Bezirksamt Treptow-Köpenick von Berlin Abteilung Soziales und Gesundheit";" ";"Projektförderung";"2009";"Postfach 91 02 40, 12414 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss für von den bezirklichen Sozialämtern Berlins anerkannte Grenz- und Härtefälle für das Kalenderjahr 2010";"100000"
"Familienplanungszentrum Berlin e. V. - BALANCE";" ";"Projektförderung";"2009";"Mauritiuskirchstraße 3, 10365 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der aufgrund eines höheren Bedarfs von präventiver Gesundheitsarbeit geplanten räumlichen sowie konzeptionellen Erweiterung des Familienplanungszentrums";"382000"
"Berliner AIDS-Hilfe e. V.";" ";"Projektförderung";"2009";"Meinekestraße 12, 10719 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zwecks Weiterführung der Koordinationsstelle ''Schoolwork'' (HIV-Prävention) für zwei Jahre";"52000"
"Gesundheit Berlin e. V.";" ";"Projektförderung";"2009";"Friedrichstraße 231, 10969 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des 15. Kongresses ''Armut und Gesund-heit'' am 04. und 05.12.2009 in Berlin";"20000"
"Tierpark Berlin-Friedrichsfelde GmbH";" ";"Projektförderung";"2009";"Am Tierpark 125, 10319 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss für die Neugestaltung der Tropenhalle im Alfred-Brehm-Haus - als 1. Rate";"2500000"
"S.T.E.R.N. Gesellschaft der behutsamen Stadterneuerung mbH";" ";"Projektförderung";"2009";"Schwedter Straße 263, 10119 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Instandsetzung und langfristigen Sicherung der ''East Side Gallery'' - als 2. und letzte Rate";"914000"
"Bezirksamt Pankow von Berlin Abt. Umwelt, Wohnen und Bürgerdienste Amt für Umwelt und Natur";" ";"Projektförderung";"2009";"Fröbelstraße 17, 10405 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung von ökologischen Sanierungsmaßnahmen an den Schaugewächshäusern im Botanischen Volkspark Pankow (Blankenfelde) ";"467000"
"Kulturprojekte Berlin GmbH";" ";"Projektförderung";"2009";"Klosterstraße 68, 10179 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Ausrichtung des Berliner Themenjahres 2009 ''20 Jahre Mauerfall'' - als 2. und letzte Rate";"3300000"
"Kulturveranstaltungen des Bundes in Berlin GmbH Geschäftsbereich: Haus der Kulturen der Welt";" ";"Projektförderung";"2009";"John-Foster-Dulles-Allee 10, 10557 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Kulturprogrammes im Rahmen der Asien-Pazifik-Wochen 2009 - als 2. und letzte Rate";"1530000"
"Uferstudios GmbH";" ";"Projektförderung";"2009";"Uferstraße 8/23, 13357 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung der geplanten baulichen Herrichtung für das neue hochschulübergreifende Zentrum Tanz Berlin und den künst-lerischen Arbeitsort von Uferstudios GmbH - als 1. Rate";"900000"
"Neuer Berliner Kunstverein e. V.";" ";"Institutionelle Förderung";"2009";"Chausseestraße 128/129, 10115 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur institutionellen Förderung des Vereins im Kalenderjahr 2010";"834000"
"DOCK 11 GmbH";" ";"Projektförderung";"2009";"Kastanienallee 79, 10435 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung des Neubaus von Tanzstudios auf dem be-zirkseigenen Grundstück, Breite Straße 43/43 A in Berlin-Pankow - als 3. und letzte Rate";"829000"
"Neue Gesellschaft für Bildende Kunst e. V.";" ";"Institutionelle Förderung";"2009";"Oranienstraße 25, 10999 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur institutionellen Förderung des Vereins im Kalenderjahr 2010";"681000"
"Stiftung Berliner Mauer - Gedenkstätte Berliner Mauer und Erinnerungsstätte Notaufnahmelager Marienfelde";" ";"Projektförderung";"2009";"Bernauer Straße 111, 13355 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Gestaltung und Sicherung des ehemaligen Grenzbereiches Bernauer Straße als Gedenkstätte (Open Air Ausstellung) - als 2. Rate";"500000"
"Künstlerhaus Bethanien GmbH";" ";"Projektförderung";"2009";"Mariannenplatz 2, 10997 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung von Umzugs- und Umbaukosten für den neuen Standort Kohlfurter Straße 41 - 43 in Berlin-Kreuzberg";"500000"
"Kulturprojekte Berlin GmbH";" ";"Projektförderung";"2009";"Klosterstraße 68, 10179 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung der geplanten Verlängerung der Open-Air-Ausstellung ''Friedliche Revolution 1989/90'' auf dem Alexanderplatz vom 15.11.2009 bis zum 03.10.2010 als Teil des Projektes ''20 Jahre Mauer-fall''";"426000"
"Kulturprojekte Berlin GmbH";" ";"Projektförderung";"2009";"Klosterstraße 68, 10179 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung einer Veranstaltungsreihe Berlin - Istanbul 2009 anlässlich des 20-jährigen Jubiläums der bestehenden Städte-partnerschaft";"400000"
"Bar jeder Vernunft Veranstaltungs-Organisations-GmbH Berlin";" ";"Projektförderung";"2009";"Schaperstraße 24, 10719 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung von Modernisierungs- und Sanierungsmaßnahmen im Zusammenhang mit den geplanten Umzügen der beiden Theaterzelte ""TIPI"" und ""Bar jeder Vernunft""";"365000"
"Paul Singer e. V.";" ";"Projektförderung";"2009";"Petersburger Straße 92, 10247 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Projekts: Entwicklung einer nationalen Gedenkstätte ''Friedhof der Märzgefallenen'' in Berlin-Friedrichshain (hier: Bauliche Instandsetzung der Anlage inkl. Wettbewerbsverfahren ""Info-Pavillon"") - als 1. Rate";"309000"
"Universität der Künste Berlin - Haush 2 -";" ";"Projektförderung";"2009";"Einsteinufer 43 - 53, 10587 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Erneuerung der Bestuhlung im Konzertsaal in der Hardenbergstraße";"327700"
"Kunst-Werke Berlin e. V.";" ";"Projektförderung";"2009";"Auguststraße 69, 10117 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung weitergehender geplanter Sanierungsmaßnahmen zur Schwamm- und Pilzbeseitigung im Rahmen der baulichen Instandsetzungsmaßnahmen auf dem stiftungseigenen Grundstück Auguststraße 69 in Berlin-Mitte -als 2. und letzte Rate";"300000"
"Bundeswettbewerb Gesang Berlin e. V.";" ";"Projektförderung";"2009";"Friedrichstraße 107 / im Friedrichstadtpalast 10117 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des 39. Bundeswettbewerbes Gesang Berlin 2010 (Oper/Operette/Konzert)";"275000"
"Regierender Bürgermeister von Berlin - Senatskanzlei - Kulturelle Angelegenheiten - V D Ke -";" ";"Projektförderung";"2009";"Brunnenstraße 188 - 190, 10119 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zum Ankauf von Kunstwerken zeitgenössischer bildender Künstlerinnen und Künstler";"250000"
"Kulturprojekte Berlin GmbH";" ";"Projektförderung";"2009";"Klosterstraße 68, 10179 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Kosten des geplanten Berliner Monats der Fotografie als Teil des europaweiten Gemeinschaftsprojektes ''Euro-päischer Monat der Fotografie 2010/11''";"225000"
"gamehouse gGmbH";" ";"Projektförderung";"2009";"Marchlewskistraße 27, 10243 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Einrichtung einer Dauerausstellung des Computerspiele Museums Berlin am neuen Standort Berlin-Carré, Karl-Liebknecht-Straße 13 in 10178 Berlin";"220000"
"Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg";" ";"Projektförderung";"2009";"Postfach 60 14 62, 14414 Potsdam";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Ausstellungsprojektes ''Luise - Königin und Mythos'' vom 06.03. bis 30.05.2010 im Schloss Charlottenburg";"200000"
"p.art.ners Berlin-Windhoek gGmbH";" ";"Projektförderung";"2009";"Rungestraße 22 - 24, 10179 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung von Teilbereichen des geplanten Kulturaustauschprojekts ''shared experiences'' im Rahmen der Städte-partnerschaft Berlin - Windhoek - als 2. Rate";"187000"
"Bezirksamt Neukölln von Berlin ; Kulturamt / KU AL";" ";"Projektförderung";"2009";"Karl-Marx-Straße 141, 12043 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss für die Anschaffung von Archiv- und Sammlungsschränken sowie Regalen für den ''Geschichtsspeicher'' des Museums Neukölln";"150000"
"Kulturprojekte Berlin GmbH";" ";"Projektförderung";"2009";"Klosterstraße 68, 10179 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Ausstellungsprojektes ''Deutsche Kunst im Kalten Krieg 1945 - 1989. Konfrontation und Dialog'' im Rahmen der Städtepartnerschaft Berlin - Los Angeles - als 2. und letzte Rate";"125000"
"Förderverein Gutshaus Mahlsdorf e. V.";" ";"Projektförderung";"2009";"Hultschiner Damm 333, 12623 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss für Sicherungs- und Instandsetzungsmaßnahmen im und am Gutshaus Mahlsdorf - Gründerzeitmuseum";"100000"
"Paul Singer e. V.";" ";"Projektförderung";"2009";"Petersburger Straße 92, 10247 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Projekts: Entwicklung einer nationalen Gedenkstätte ''Friedhof der Märzgefallenen'' in Berlin-Friedrichshain als 2. Rate";"50000"
"Mahagonny - Theater Kunst Kulturarbeit Berlin e. V.";" ";"Projektförderung";"2009";"Oldenburgallee 18, 14052 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der geplanten Theateruraufführung ''Herman Melville-Clarel'' mit ''Melville-Special'' im Rahmen d. Veranstaltungsreihe ''Medium Taut-Lichtenberg in motion'' im Eröffnungsjahr 08/09 in d. Aula von Max Taut als 2. u. letzte Rate";"40000"
"Stiftung Berliner Mauer - Gedenkstätte Berliner Mauer und Erinnerungsstätte Notaufnahmelager Marienfelde";" ";"Projektförderung";"2009";"Bernauer Straße 111, 13355 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der geplanten Dokumentation ''Todesopfer des Grenzregimes der DDR in Berlin, 1948/49 bis 1961''";"36000"
"Studio-Chor Berlin e. V.";" ";"Projektförderung";"2009";"Südwestkorso 20, 14197 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des geplanten Jubiläumskonzertes an-lässlich des 40-jährigen Bestehens des Studio-Chores Berlin am 11.11.2009 in der Philharmonie Berlin";"5250"
"Maximilian-Kolbe-Werk e. V.";" ";"Projektförderung";"2009";"Karlstraße 40, 79104 Freiburg";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung eines Erholungs- und Begegnungsaufenthaltes in Berlin für aus Polen kommende Überlebende der Konzentrationslager und Ghettos";"15000"
"Nachbarschaftsheim Neukölln e. V.";" ";"Projektförderung";"2009";"Schierker Straße 53, 12051 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Gesamtsanierung des Gebäudes des Nachbarschaftsheims Neukölln im Rahmen des Umweltentlastungsprogramms II (UEP II)";"180000"
