"Country","Internet users","percent of population","Date Data Gathered"
"Bahamas","142000","46.2%","2009"
"Burkina Faso","140000","0.9%","2009"
"Malawi","139500","0.9%","2008"
"Laos","130000","1.9%","2009"
"Chad","130000","1.3%","2009"
"Botswana","120000","0,06","2009"
"Papua New Guinea","120000","0,02","2009"
"Gambia","114200","6.4%","2009"
"Namibia","113500","5.4%","2009"
"Saint Lucia","110000","68.6%","2009"
"Myanmar","108900","0.2%","2009"
"Guadeloupe","103000","23.3%","2009"
"Fiji","103000","10.9%","2009"
"Cape Verde","102800","23.9%","2009"
"Somalia","102000","0,01","2009"
"French Polynesia","90000","31.4%","2009"
"Gabon","90000","5.9%","2009"
"Guinea","90000","0.9%","2009"
"Guam","85000","47.6%","2009"
"New Caledonia","85000","37.4%","2009"
"Swaziland","80000","0,06","2009"
"Niger","80000","0.5%","2009"
"Turkmenistan","75000","1.5%","2009"
"Cambodia","74000","0.5%","2009"
"Lesotho","73300","3.4%","2009"
"Maldives","71700","18.1%","2009"
"Saint Vincent and the Grenadines","66000","63.1%","2009"
"Antigua and Barbuda","65000","75.9%","2009"
"Burundi","65000","0.7%","2009"
"Mauritania","60000","1.9%","2009"
"Andorra","59100","70.5%","2009"
"French Guiana","54000","23.6%","2009"
"Greenland","52000","90.3%","2008"
"Bermuda","51000","75.2%","2009"
"Suriname","50000","10.4%","2009"
"Guernsey","46100","70.4%","2009"
"Bhutan","40000","5.8%","2008"
"Faroe Islands","37500","76.8%","2009"
"Guinea-Bissau","37100","2.4%","2009"
"Belize","34000","0,11","2009"
"Seychelles","32000","36.6%","2008"
"U.S. Virgin Islands","30000","27.3%","2002"
"Jersey","28500","31.1%","2009"
"Dominica","27500","37.8%","2009"
"São Tomé and Príncipe","24800","11.7%","2009"
"Grenada","24000","26.4%","2009"
"Aruba","24000","23.3%","2001"
"Liechtenstein","23000","66.2%","2009"
"Cayman Islands","23000","46.9%","2009"
"Comoros","23000","3.1%","2009"
"Monaco","22000","66.7%","2009"
"Liberia","20000","0.6%","2008"
"Central African Republic","19000","0.4%","2009"
"San Marino","17000","56.4%","2009"
"Vanuatu","17000","7.8%","2008"
"Saint Kitts and Nevis","16000","39.9%","2009"
"Federated States of Micronesia","16000","14.9%","2008"
"Sierra Leone","13900","0.3%","2009"
"Djibouti","13000","1.8%","2009"
"Equatorial Guinea","12000","1.9%","2009"
"Northern Mariana Islands","10000","19.4%","2003"
"Solomon Islands","10000","33.1%","2009"
"Gibraltar","9853","34.2%","2009"
"Samoa","9000","4.1%","2009"
"Tonga","8400","6.9%","2008"
"Palau","5400","0,26","2007"
"Cook Islands","5000","42.1%","2009"
"Anguilla","4500","31.2%","2009"
"Tuvalu","4200","33.9%","2008"
"British Virgin Islands","4000","16.3%","2002"
"Falkland Islands","2483","1","2009"
"Marshall Islands","2200","3.4%","2007"
"Kiribati","2000","1.8%","2001"
"Netherlands Antilles","2000","0.9%","1999"
"Timor Leste","1800","0.2%","2009"
"Montserrat","1200","23.5%","2009"
"Wallis and Futuna","1200","7.8%","2009"
"Niue","1000","62.6%","2005"
"Saint Helena","1000","13.1%","2003"
"Tokelau","800","58.4%","2007"
"Norfolk Island","700","27.4%","2005"
"Christmas Island","464","33.1%","2001"
"Nauru","300","33.1%","2002"
"Vatican City","93","17.1%","2009"
"North Korea","","",""
